nombre,url,url_oai,tipo,divulgador
"Nure Investigación, Foundation for Nursery Development",http://www.nureinvestigacion.es/OJS/index.php/nure/,http://www.nureinvestigacion.es/OJS/index.php/index/oai,Revista,"Foundation for Nursery Development, (FUDEN)"
Revista Española de Nutrición Humana y Dietética,http://renhyd.org/,http://renhyd.org/index.php/index/oai,Revista,Fundación Española de Dietistas-Nutricionistas (FEDN)
"Revista Iberoamericana de Educación, Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",http://rieoei.org/index.php,http://rieoei.org/index.php/index/oai,Revista,Fundación Española para la Ciencia y la Tecnología (FECYT)
"Euskal Doktorego Tesien Bilduma, Repositorio de Tesis Doctorales",http://edtb.euskomedia.org/,http://edtb.euskomedia.org/cgi/oai2,Repositorio Institucional,Fundación Euskomedia
Bibliotecas Virtuales Fhl. Registros de Autoridad,http://www.larramendi.es/i18n/estaticos/contenido.cmd?pagina=estaticos/inicio,http://digiweb03:8080/bvlarramendi2/i18n/oai/oai_aut.cmd,Biblioteca,Fundación Ignacio Larramendi
Bibliotecas Virtuales Fhl. Registros bibliográficos,http://www.larramendi.es/i18n/estaticos/contenido.cmd?pagina=estaticos/inicio,http://www.larramendi.es/i18n/oai/oai.cmd,Biblioteca,Fundación Ignacio Larramendi
Bibliotecas Virtuales Fhl,http://www.larramendi.es/i18n/estaticos/contenido.cmd?pagina=estaticos/inicio,http://www.larramendi.es/i18n/oai/oai_larramendi.es.cmd,Biblioteca,Fundación Ignacio Larramendi
Repositorio Ceacs,http://digital.march.es/ceacs-ir/,http://digital.march.es/ceacs-ir/oai2,Repositorio Institucional,Fundación Juan March
Centro de Documentación,http://www.mapfre.com/documentacion,http://www.mapfre.com/documentacion/publico/i18n/oai/oai.cmd,Colección,Fundación MAFRE
Museo Virtual del Seguro,https://www.fundacionmapfre.org/museoseg/es/estaticos/contenido.cmd?pagina=indice,http://www.mapfre.com/museoseg/i18n/oai/oai.cmd?verb=Identify,Colección,Fundación MAFRE
"Emd, Memoria Digital Vasca",www.memoriadigitalvasca.es,http://www.memoriadigitalvasca.es/dspace-oai/request,Colección,Fundacion Sancho el Sabio Fundazioa
Tecnalia Publications,http://dsp.tecnalia.com,http://dsp.tecnalia.com/oai/driver,Repositorio Institucional,Fundación TECNALIA
"Mdx, Materials Docents en Xarxa",mdx.cat,http://oai.mdx.cat/request,Colección,Generalitat de Cataluña
Recercat,http://www.recercat.net,http://oai.recercat.cat/request,Colección,Generalitat de Cataluña
Calaix,http://www.calaix.cat,http://calaix.gencat.cat/oai/request,Biblioteca,Generalitat de Cataluña
Memòria Digital de Catalunya,http://mdc1.cbuc.cat/index.php,http://mdc.cbuc.cat/cgi-bin/oai.exe,Repositorio Institucional,Generalitat de Cataluña
Repositorio Digital de la Filmoteca,http://repositori.filmoteca.cat/,http://repositori.filmoteca.cat/oai/request,Repositorio Institucional,Generalitat de Cataluña
"Bivaldi, Biblioteca Digital Valenciana",http://bivaldi.gva.es/es/cms/elemento.cmd?id=estaticos/paginas/inicio.html,http://bivaldi.gva.es/i18n/oai/oai_bivaldi.gva.es.cmd,Biblioteca,Generalitat Valenciana
Biblioteca Virtual de Derecho Aragonés,http://www.derechoaragones.es/,http://www.derechoaragones.es/i18n/oai/oai.cmd,Biblioteca,Gobierno de Aragón
Biblioteca Virtual del Principado de Asturias,http://bibliotecavirtual.asturias.es/i18n/estaticos/contenido.cmd?pagina=estaticos/presentacion,http://www.bibliotecavirtual.asturias.es/i18n/oai/oai.cmd,Biblioteca,Gobierno del Principado de Asturias
Ria,http://ria.asturias.es/RIA/index.jsp,http://ria.asturias.es/dspace-oai/request,Repositorio Institucional,Gobierno del Principado de Asturias
"Liburuklik, Biblioteca Digital Vasca",http://www.liburuklik.euskadi.net,http://www.liburuklik.euskadi.net/oai/request,Biblioteca,Gobierno Vasco
"Zerbitzuan, Revista de Servicios Sociales",http://www.zerbitzuan.net,http://www.zerbitzuan.net/index.php/index/oai,Revista,Gobierno Vasco
"Boletín del Ecemc, Revista de Dismorfología y Epidemiología",http://revistas.isciii.es/revistas.jsp?id=ECEMC#_numeros,http://revista.isciii.es/index.php/ecemc/oai ,Boletín,Grupo del Estudio Colaborativo Español de Malformaciones Congénitas (ECEMC)
"Ene, Revista de Enfermería",http://www.ene-enfermeria.org/ojs/index.php/ENE/index,http://www.ene-enfermeria.org/ojs/index.php/index/oai,Revista,Grupo ENE de Investigación el Lenguajes Enfermenros
Ge-Conservación,http://www.ge-iic.com/ojs/index.php/revista,http://www.ge-iic.com/revista/index.php/index/oai,Revista,Grupo Españo de Conservación del IIC (GEIIC)
Contribuciones a la Economía,http://www.eumed.net/ce/index.htm,http://www.eumed.net/ce/index.htm/oai,Revista,Grupo eumed.net
"Contribuciones a las Ciencias Sociales, Group Eumed.Net",http://www.eumed.net/rev/cccss/index.htm,http://www.eumed.net/rev/cccss/index.htm/oai,Revista,Grupo eumed.net
Revista Crítica de Historia de las Relaciones Laborales y de la Política Social,http://www.eumed.net/rev/historia/index.htm,http://www.eumed.net/rev/historia/index.htm/index/oai,Revista,Grupo eumed.net
Revista Europea de Historia de las Ideas Políticas y de las Instituciones Públicas,http://www.eumed.net/rev/rehipip/,http://www.eumed.net/rev/rehipip/index.htm/oai,Revista,Grupo eumed.net
Revista Jurídica de Investigación e Innovación Educativa,http://www.eumed.net/rev/rejie/index.htm,http://www.eumed.net/rev/rejie/index.htm/index/oai,Revista,Grupo eumed.net
"Tecsistecatl, Revista Electrónica de Ciencias Sociales",http://www.eumed.net/rev/tecsistecatl/index.htm,http://www.eumed.net/rev/tecsistecatl/index.htm/oai,Revista,Grupo eumed.net
"Tlatemoani, Revista Académica de Investigación",http://www.eumed.net/rev/tlatemoani/index.htm,http://www.eumed.net/rev/tlatemoani/index.htm/index/oai,Revista,Grupo eumed.net
Boletín Criminologico  ,http://www.boletincriminologico.uma.es/,http://www.boletincriminologico.uma.es/index.php/index/oai,Boletín,"Instituto Andaluz Interuniversitario de Criminología, Universidad de Málaga"
Collectanea Botanica,http://collectaneabotanica.revistas.csic.es,http://collectaneabotanica.revistas.csic.es,Revista,"Instituto Botánico de Barcelona, Consejo Superior de Investigaciones Científicas"
Cartoteca Digital ,http://vacani.icc.cat/,http://vacani.icc.cat/cgi-bin/oai.exe,Colección,Instituto Cartográfico y Geológico de Cataluña
Colecciones Digitales del Instituto Cervantes,http://coleccionesdigitales.cervantes.es/ ,http://coleccionesdigitales.cervantes.es/oai/oai.php ,Colección,Instituto Cervantes
Scientia Marina,http://www.icm.csic.es/scimar/,http://www.icm.csic.es/scimar/index.php/index/oai,Revista,"Instituto de Ciencias del Mar de Barcelona, Consejo Superior de Investigaciones Científicas"
Cuadernos de Gestión,http://www.ehu.es/cuadernosdegestion/revista/index.php/en,http://www.ehu.es/cuadernosdegestion/revista/index.php/index/oai,Revista,"Instituto de Economía Aplicada a la Empresa, Universidad del País Vasco"
Portal de Revistas del Instituto de Estudios Catalanes,http://revistes.iec.cat/,http://revistes.iec.cat/index.php/index/oai,Portal de Revistas,Instituto de Estudios Catalanes
Actes d'Història de la Ciència i de la Tècnica,http://revistes.iec.cat/index.php/AHCT/index,http://revistes.iec.cat/index.php/AHCT/index/oai,Revista,Instituto de Estudios Catalanes
Anuari de la Societat Catalana de Filosofia,http://revistes.iec.cat/index.php/ASCF/index,http://revistes.iec.cat/index.php/ASCF/index/oai,Revista,Instituto de Estudios Catalanes
Anuari de la Societat Catalana d'Economia,http://revistes.iec.cat/index.php/ASCE/index,http://revistes.iec.cat/index.php/ASCE/index/oai,Revista,Instituto de Estudios Catalanes
Ars Medica,http://revistes.iec.cat/index.php/AM/index,http://revistes.iec.cat/index.php/AM/index/oai,Revista,Instituto de Estudios Catalanes
Arxiu de Textos Catalans Antics,http://revistes.iec.cat/index.php/ATCA/index,http://revistes.iec.cat/index.php/ATCA/index/oai,Revista,Instituto de Estudios Catalanes
Arxius d'odontologia,http://revistes.iec.cat/index.php/ado/index,http://revistes.iec.cat/index.php/ado/index/oai,Revista,Instituto de Estudios Catalanes
Butlletí de la Institució Catalana d'Història Natural,http://revistes.iec.cat/index.php/BICHN/index,http://revistes.iec.cat/index.php/BICHN/index/oai,Revista,Instituto de Estudios Catalanes
Butlletí de la Societat Catalana de Matemàtiques,http://revistes.iec.cat/index.php/BSCM/index,http://revistes.iec.cat/index.php/BSCM/index/oai,Revista,Instituto de Estudios Catalanes
Butlletí de la Societat Catalana d'Estudis Històrics,http://revistes.iec.cat/index.php/BSCEH/index,http://revistes.iec.cat/index.php/BSCEH/index/oai,Revista,Instituto de Estudios Catalanes
